"밀, 팬케이크가루",394,8.9,7.9,4.9,75.9,-,-,735,0,-,-,-
"밀, 흑밀, 도정, 생것",328,12.1,12.9,0.9,72.5,-,-,6,0,-,-,-
"밀, 카무트, 미국산, 말린것",334,11.6,13.74,1.91,71.16,5.29,11.9,3,0,13625,0,0.01
"과자, 건빵",419,4.2,9.92,8.67,75.37,16.84,6.9,457,0.17,9512,0,0.05
"과자, 만주, 밤",330,19.6,6.35,2.39,70.86,42.45,4.5,158,0.37,6042,0,0.01
"과자, 모나카",346,13.3,3.35,0.29,82.62,36.58,2.4,64,0,2921,0,0
"과자, 비스킷, 하드",534,0.7,6.68,28.58,62.63,9.21,2.1,481,0.03,6203,1.59,0.13
"과자, 비스킷, 소프트",489,7.7,5.7,24.93,60.34,23.46,2.1,227,0.05,5310,31.02,0.23
"과자, 사과파이",471,7.8,5.5,21,64.98,22.83,1.9,207,5.25,5043,0,0.22
"과자, 전병",398,4.3,7.5,3.5,84,-48.1,1.1,130,0,-7365,110,-
"과자, 김전병",420,3,6.7,6.9,82.8,-,-,150,0,-,-,-
"과자, 스넥, 새우",494,2.9,6.04,22.77,66.32,4,2.5,577,0,5525,0,0.2
"과자, 스넥, 옥수수",520,1.1,5.25,26.27,65.73,2.01,1.1,420,0,5167,0,0.18
"과자, 약과",422,11,3.8,13.3,71.7,-,-,34,0,-,-,-
"과자, 대추꿀약과",428,13.3,4.5,16.3,65.7,-,-,18,0,-,-,-
"과자, 와플 ",291,42,7.9,14.1,32.9,-,-,511,0.4,7936,69,-
"과자, 잼 와플",287,33,4.8,4.2,57.3,-36.4,1.3,51,5,-4944,59,-
"과자, 커스터드 크림 와플",252,45.9,7.3,7.9,38.1,-15.1,-,65,1,-7457,170,-
"과자, 바닐라 웨하스",521,2.6,4.1,26.9,65.6,-,-,131,0,-,-,-
"과자, 초코볼",501,1.5,4.3,22.5,70.2,-,-,54,0,-,-,-
"과자, 초코파이",428,11.4,4.29,15.57,67.59,31.18,2.1,224,0,3696,0,0.09
"과자, 쿠키, 통밀",471,1.9,6.48,17.17,72.73,17.18,17.1,652,0.23,5330,5.19,0.67
"과자, 쿠키, 땅콩버터",493,1.6,8.36,20.87,67.97,22.42,2.4,346,0.29,8229,6.84,0.08
"과자, 쿠키, 초코칩",494,1,5.92,20.55,71.38,23.18,3,312,0.24,5342,13.38,0.24
